epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps,val_dice_soft_all,val_dice_hard_all
59,0.339067,0.436157,0.495093,0.00097265,5.65,0,5251,0.105982,0.114425
60,0.327764,0.389679,0.432412,0.00097172,5.65,0,5340,0.189854,0.207476
61,0.331178,0.422489,0.463366,0.00097078,5.6,0,5429,0.080865,0.085081
62,0.326175,0.438514,0.481084,0.00096983,5.68,0,5518,0.107955,0.114423
63,0.318491,0.452527,0.496356,0.00096886,5.59,0,5607,0.129889,0.13774
64,0.323374,0.47064,0.51224,0.00096787,5.51,0,5696,0.114559,0.120701
65,0.315281,0.454996,0.495547,0.00096687,5.67,0,5785,0.108711,0.114447
66,0.310305,0.444269,0.485243,0.00096586,5.67,0,5874,0.148117,0.158579
67,0.309501,0.469959,0.51151,0.00096483,5.66,0,5963,0.131455,0.138679
68,0.308096,0.452013,0.488181,0.00096378,5.54,0,6052,0.104847,0.109388
69,0.302706,0.374523,0.400674,0.00096272,5.67,0,6141,0.120109,0.12547
70,0.302883,0.424551,0.456467,0.00096165,5.62,0,6230,0.159686,0.167436
71,0.295416,0.394345,0.419897,0.00096056,5.64,0,6319,0.091285,0.09487
72,0.295006,0.449195,0.478493,0.00095946,5.67,0,6408,0.145116,0.151496
73,0.293909,0.378976,0.403678,0.00095834,5.51,0,6497,0.171542,0.17986
74,0.289174,0.478461,0.507804,0.00095721,5.55,0,6586,0.151656,0.158172
75,0.289374,0.491687,0.518421,0.00095606,5.62,0,6675,0.168419,0.174649
76,0.28496,0.453119,0.479126,0.0009549,5.62,0,6764,0.148802,0.154454
77,0.282097,0.439406,0.464238,0.00095372,5.69,0,6853,0.224981,0.235687
78,0.282845,0.434,0.455666,0.00095253,5.63,0,6942,0.198286,0.205506
79,0.277033,0.428201,0.449817,0.00095133,5.59,0,7031,0.130006,0.134081
80,0.281277,0.445267,0.468164,0.00095011,5.71,0,7120,0.128128,0.1322
81,0.276046,0.464508,0.485028,0.00094887,5.7,0,7209,0.123714,0.126794
82,0.273232,0.386733,0.403532,0.00094763,5.72,0,7298,0.206142,0.213365
83,0.272094,0.461621,0.481447,0.00094637,5.62,0,7387,0.196268,0.20293
84,0.268511,0.474731,0.494239,0.00094509,5.7,0,7476,0.159253,0.163418
85,0.263666,0.424198,0.441353,0.0009438,5.67,0,7565,0.118869,0.121321
86,0.26598,0.451555,0.471028,0.0009425,5.71,0,7654,0.166834,0.172055
87,0.269483,0.460183,0.476122,0.00094118,5.77,0,7743,0.153701,0.157105
88,0.264468,0.464095,0.479194,0.00093985,5.61,0,7832,0.131928,0.134778
89,0.263392,0.480221,0.498096,0.0009385,5.66,0,7921,0.14804,0.151876
90,0.261757,0.443692,0.457637,0.00093714,5.74,0,8010,0.177611,0.181668
91,0.257175,0.45453,0.468218,0.00093577,5.54,0,8099,0.223133,0.228437
92,0.25745,0.342162,0.352154,0.00093438,5.69,0,8188,0.15416,0.157389
93,0.263451,0.458322,0.474754,0.00093298,5.63,0,8277,0.263689,0.272858
94,0.256881,0.474145,0.487974,0.00093157,5.59,0,8366,0.184023,0.187853
95,0.252957,0.444168,0.457944,0.00093014,5.62,0,8455,0.202245,0.207127
96,0.256387,0.477009,0.488719,0.0009287,5.83,0,8544,0.174329,0.177456
97,0.252368,0.473078,0.485227,0.00092724,5.68,0,8633,0.164672,0.167653
98,0.254486,0.439822,0.452863,0.00092577,5.6,0,8722,0.18916,0.194183
99,0.253009,0.446069,0.455829,0.00092429,5.59,0,8811,0.201388,0.205365
100,0.250846,0.473772,0.485371,0.00092279,5.69,0,8900,0.229386,0.233599
101,0.248639,0.44389,0.455927,0.00092128,5.61,0,8989,0.144665,0.147446
102,0.251655,0.480934,0.491053,0.00091976,5.56,0,9078,0.173143,0.175933
103,0.24823,0.48034,0.490539,0.00091822,5.55,0,9167,0.212031,0.2158
104,0.248057,0.467832,0.477109,0.00091667,5.68,0,9256,0.126931,0.128445
105,0.244445,0.444129,0.45368,0.00091511,5.84,0,9345,0.222147,0.225937
106,0.244978,0.450544,0.458662,0.00091354,5.62,0,9434,0.216589,0.219908
107,0.244397,0.430508,0.439033,0.00091195,5.68,0,9523,0.192564,0.195677
108,0.245051,0.459183,0.468164,0.00091035,5.65,0,9612,0.188626,0.191478
109,0.248129,0.49613,0.504647,0.00090873,5.64,0,9701,0.162447,0.164589
110,0.24179,0.430726,0.439231,0.0009071,5.66,0,9790,0.199112,0.202634
111,0.240814,0.467686,0.476302,0.00090546,5.7,0,9879,0.247838,0.251774
112,0.239022,0.476698,0.484632,0.00090381,5.79,0,9968,0.178259,0.180492
113,0.239659,0.434326,0.441858,0.00090214,5.71,0,10057,0.192466,0.194869
114,0.242754,0.44671,0.454818,0.00090047,5.69,0,10146,0.131781,0.133339
115,0.238879,0.475706,0.48234,0.00089877,5.78,0,10235,0.203009,0.205182
116,0.235709,0.483322,0.491464,0.00089707,5.81,0,10324,0.227427,0.230291
117,0.234234,0.492361,0.500131,0.00089535,5.89,0,10413,0.18617,0.188355
118,0.232146,0.46183,0.470898,0.00089362,5.69,0,10502,0.230832,0.234723
119,0.235807,0.436441,0.442499,0.00089188,5.78,0,10591,0.199234,0.201621
120,0.234884,0.491688,0.49778,0.00089013,5.9,0,10680,0.222078,0.224664
121,0.23378,0.418306,0.424781,0.00088836,5.95,0,10769,0.168222,0.170183
122,0.236719,0.464418,0.46981,0.00088658,5.71,0,10858,0.185973,0.187716
123,0.231087,0.448264,0.454416,0.00088479,5.86,0,10947,0.150639,0.15255
124,0.234144,0.443598,0.449741,0.00088299,5.69,0,11036,0.173979,0.176177
125,0.232564,0.481887,0.487894,0.00088117,5.79,0,11125,0.138354,0.139449
126,0.231172,0.413895,0.419744,0.00087935,5.94,0,11214,0.19911,0.201437
127,0.228988,0.495979,0.501231,0.00087751,5.94,0,11303,0.17215,0.173955
128,0.228014,0.46922,0.475416,0.00087566,5.67,0,11392,0.134036,0.135233
129,0.227896,0.501035,0.506563,0.00087379,5.81,0,11481,0.193758,0.195785
130,0.224995,0.446784,0.451667,0.00087192,5.83,0,11570,0.172953,0.174602
131,0.227694,0.457965,0.463066,0.00087003,5.66,0,11659,0.256379,0.259365
132,0.228241,0.440092,0.444731,0.00086813,5.61,0,11748,0.177259,0.179154
133,0.227505,0.460205,0.46562,0.00086622,5.76,0,11837,0.250898,0.253393
134,0.222907,0.490518,0.495916,0.0008643,5.98,0,11926,0.152239,0.153387
135,0.226221,0.42703,0.430986,0.00086237,5.76,0,12015,0.234331,0.236276
136,0.223147,0.513072,0.518103,0.00086042,5.64,0,12104,0.206624,0.208918
137,0.220205,0.405554,0.408066,0.00085847,5.75,0,12193,0.212519,0.213859
138,0.223837,0.444459,0.450187,0.0008565,5.71,0,12282,0.170024,0.171895
139,0.225254,0.471727,0.475216,0.00085452,5.76,0,12371,0.190854,0.192352
140,0.222646,0.49231,0.497771,0.00085253,5.7,0,12460,0.164922,0.16675
141,0.223024,0.461958,0.468435,0.00085053,5.69,0,12549,0.193085,0.195802
142,0.226541,0.436257,0.440256,0.00084852,5.71,0,12638,0.312525,0.316482
143,0.224671,0.485771,0.490675,0.0008465,5.79,0,12727,0.206232,0.208333
144,0.222845,0.490699,0.494947,0.00084446,5.82,0,12816,0.180334,0.181615
145,0.2216,0.440257,0.444692,0.00084242,5.89,0,12905,0.184955,0.186805
146,0.222331,0.453813,0.457511,0.00084036,5.82,0,12994,0.168355,0.16955
147,0.219041,0.429075,0.433892,0.0008383,5.82,0,13083,0.163324,0.164956
148,0.22454,0.460722,0.465207,0.00083622,5.95,0,13172,0.148671,0.149946
149,0.22603,0.464906,0.468753,0.00083413,5.92,0,13261,0.189251,0.190417
150,0.215228,0.476418,0.480697,0.00083203,5.91,0,13350,0.202054,0.203351
151,0.222014,0.466996,0.47153,0.00082993,5.78,0,13439,0.153138,0.154273
152,0.222412,0.448907,0.453033,0.00082781,5.66,0,13528,0.201346,0.203067
153,0.217023,0.446918,0.450085,0.00082568,5.69,0,13617,0.165816,0.167011
154,0.217702,0.46844,0.473116,0.00082354,5.81,0,13706,0.130078,0.130935
155,0.218073,0.468346,0.470553,0.00082139,5.79,0,13795,0.182881,0.183524
156,0.215526,0.443791,0.447497,0.00081923,5.9,0,13884,0.201709,0.202978
157,0.21306,0.446988,0.450112,0.00081706,5.82,0,13973,0.208869,0.210117
158,0.215235,0.470821,0.473451,0.00081488,5.81,0,14062,0.234593,0.235965
159,0.217578,0.47863,0.481975,0.00081269,5.86,0,14151,0.237742,0.239615
160,0.216165,0.475559,0.478508,0.00081049,5.86,0,14240,0.221243,0.222826
161,0.213328,0.453822,0.457032,0.00080828,5.76,0,14329,0.195803,0.197252
162,0.211499,0.489168,0.493191,0.00080606,5.68,0,14418,0.192951,0.194723
163,0.219815,0.483436,0.487613,0.00080383,5.64,0,14507,0.250601,0.252776
164,0.218772,0.480612,0.483271,0.00080159,5.82,0,14596,0.213358,0.214752
165,0.21575,0.508068,0.512035,0.00079934,5.78,0,14685,0.163871,0.165265
166,0.216082,0.524441,0.528251,0.00079709,5.73,0,14774,0.224974,0.22643
167,0.216258,0.491609,0.495745,0.00079482,5.83,0,14863,0.168922,0.170231
168,0.213503,0.498104,0.501577,0.00079254,5.74,0,14952,0.194111,0.195436
169,0.212065,0.499476,0.504067,0.00079026,5.81,0,15041,0.205703,0.208458
170,0.211219,0.509349,0.513141,0.00078796,5.83,0,15130,0.223372,0.225216
171,0.212607,0.508877,0.513175,0.00078566,5.72,0,15219,0.274456,0.277307
172,0.211797,0.50656,0.509903,0.00078335,6.02,0,15308,0.203286,0.20498
173,0.212456,0.517295,0.52163,0.00078103,5.81,0,15397,0.214214,0.216376
174,0.210538,0.490249,0.493347,0.0007787,5.7,0,15486,0.225291,0.226803
175,0.210636,0.452772,0.456445,0.00077636,5.81,0,15575,0.243962,0.245954
176,0.211587,0.475058,0.478492,0.00077401,5.82,0,15664,0.242985,0.245197
177,0.213464,0.460973,0.463532,0.00077165,5.8,0,15753,0.207257,0.208254
178,0.21347,0.483022,0.485671,0.00076929,5.86,0,15842,0.146867,0.147543
179,0.213523,0.452224,0.456032,0.00076691,5.78,0,15931,0.175661,0.177121
180,0.211715,0.494329,0.498228,0.00076453,5.7,0,16020,0.170762,0.172239
181,0.210303,0.425444,0.426802,0.00076214,5.87,0,16109,0.228359,0.230024
182,0.209635,0.472583,0.475024,0.00075974,5.82,0,16198,0.236606,0.238102
183,0.211588,0.500436,0.503658,0.00075734,5.93,0,16287,0.269214,0.271455
184,0.209895,0.503659,0.506267,0.00075492,5.74,0,16376,0.203134,0.204704
185,0.211164,0.49853,0.50172,0.0007525,5.77,0,16465,0.242531,0.243662
186,0.205503,0.448542,0.451185,0.00075007,5.71,0,16554,0.221803,0.223471
187,0.210092,0.432579,0.434006,0.00074763,5.75,0,16643,0.230028,0.231021
188,0.208104,0.467436,0.470098,0.00074518,5.81,0,16732,0.21455,0.215637
189,0.206446,0.459053,0.461111,0.00074273,5.84,0,16821,0.180677,0.182052
190,0.204808,0.442284,0.444302,0.00074027,5.78,0,16910,0.220532,0.222113
191,0.206923,0.450267,0.452926,0.0007378,5.65,0,16999,0.221077,0.222922
192,0.207409,0.47143,0.473072,0.00073532,5.83,0,17088,0.204497,0.205792
193,0.209704,0.502253,0.504046,0.00073284,5.9,0,17177,0.238261,0.239397
194,0.210592,0.483444,0.485245,0.00073035,5.93,0,17266,0.214879,0.215954
195,0.208905,0.490366,0.492323,0.00072785,5.79,0,17355,0.213603,0.214562
196,0.207453,0.506168,0.509208,0.00072535,5.62,0,17444,0.158307,0.158958
197,0.204524,0.464166,0.466233,0.00072283,5.71,0,17533,0.25915,0.260663
198,0.205348,0.501055,0.503898,0.00072031,5.81,0,17622,0.220539,0.221934
199,0.208529,0.513883,0.516981,0.00071779,5.89,0,17711,0.280776,0.282737
200,0.202639,0.467618,0.469911,0.00071525,5.87,0,17800,0.230125,0.231791
201,0.207426,0.486967,0.489522,0.00071271,5.83,0,17889,0.248463,0.249629
202,0.206068,0.523664,0.527232,0.00071017,5.72,0,17978,0.155811,0.156862
203,0.204478,0.488538,0.491406,0.00070761,5.85,0,18067,0.202427,0.203364
204,0.206584,0.51621,0.519318,0.00070505,5.77,0,18156,0.222081,0.223364
205,0.204114,0.521276,0.524413,0.00070249,5.94,0,18245,0.230866,0.232374
206,0.207148,0.505622,0.50827,0.00069992,5.7,0,18334,0.216999,0.217979
207,0.204744,0.478768,0.479867,0.00069734,5.74,0,18423,0.228269,0.229276
208,0.203804,0.490909,0.493163,0.00069475,5.79,0,18512,0.188622,0.189585
209,0.206074,0.479611,0.481669,0.00069216,5.85,0,18601,0.25324,0.254592
210,0.203281,0.517658,0.519894,0.00068956,5.86,0,18690,0.240631,0.241765
211,0.201166,0.469559,0.471825,0.00068696,5.74,0,18779,0.269212,0.270952
212,0.200272,0.511802,0.514315,0.00068435,5.84,0,18868,0.24926,0.250371
213,0.20419,0.486247,0.488777,0.00068174,5.72,0,18957,0.227656,0.229064
214,0.203484,0.507732,0.50916,0.00067912,5.76,0,19046,0.267554,0.268472
215,0.200329,0.487184,0.490041,0.00067649,5.84,0,19135,0.251123,0.252951
216,0.204645,0.482308,0.484651,0.00067386,5.8,0,19224,0.255079,0.25598
217,0.199797,0.492074,0.494821,0.00067122,5.67,0,19313,0.250225,0.251695
218,0.20333,0.512221,0.515279,0.00066858,5.82,0,19402,0.231341,0.232957
219,0.204436,0.516566,0.518873,0.00066594,5.79,0,19491,0.193243,0.194556
220,0.202739,0.493734,0.496465,0.00066328,5.83,0,19580,0.223402,0.224846
221,0.199666,0.506573,0.509309,0.00066063,5.75,0,19669,0.245011,0.246501
222,0.20311,0.497308,0.50004,0.00065796,5.7,0,19758,0.206975,0.208408
223,0.201952,0.505104,0.50732,0.0006553,5.66,0,19847,0.224855,0.226247
224,0.200617,0.520002,0.52309,0.00065262,5.74,0,19936,0.270016,0.271676
225,0.199558,0.510724,0.512961,0.00064995,5.8,0,20025,0.238079,0.239426
226,0.199557,0.50326,0.505979,0.00064727,5.89,0,20114,0.268832,0.270914
227,0.200444,0.515546,0.5176,0.00064458,5.77,0,20203,0.270998,0.272415
228,0.198427,0.503316,0.505413,0.00064189,5.68,0,20292,0.22282,0.224157
229,0.201875,0.521056,0.523502,0.00063919,5.76,0,20381,0.21318,0.214032
230,0.202395,0.507927,0.509732,0.0006365,5.88,0,20470,0.192444,0.193125
231,0.19824,0.50145,0.503797,0.00063379,5.79,0,20559,0.245515,0.246551
232,0.198779,0.490788,0.492389,0.00063108,5.92,0,20648,0.230275,0.231117
233,0.197726,0.514415,0.517175,0.00062837,5.77,0,20737,0.268947,0.270527
234,0.198341,0.488938,0.490282,0.00062566,5.87,0,20826,0.200774,0.201278
235,0.200071,0.508448,0.509837,0.00062294,5.74,0,20915,0.203937,0.204658
236,0.200166,0.51762,0.52016,0.00062021,5.71,0,21004,0.232908,0.234194
237,0.196192,0.478377,0.480624,0.00061749,5.72,0,21093,0.219681,0.220638
238,0.199704,0.492274,0.494178,0.00061476,5.72,0,21182,0.209068,0.2102
239,0.196878,0.510206,0.51167,0.00061202,5.77,0,21271,0.265167,0.266248
240,0.197647,0.512017,0.513986,0.00060929,5.89,0,21360,0.203674,0.204937
241,0.199511,0.502594,0.505495,0.00060655,5.85,0,21449,0.218512,0.219978
242,0.199368,0.511249,0.512945,0.0006038,5.73,0,21538,0.252892,0.254341
243,0.195417,0.471734,0.473657,0.00060105,5.74,0,21627,0.306172,0.307746
244,0.196899,0.468068,0.470162,0.0005983,5.84,0,21716,0.216143,0.216969
245,0.199327,0.492595,0.494637,0.00059555,5.67,0,21805,0.285398,0.286523
246,0.194537,0.482424,0.48545,0.00059279,5.7,0,21894,0.228576,0.229735
247,0.196454,0.505391,0.50802,0.00059004,5.69,0,21983,0.269712,0.271454
248,0.196215,0.501831,0.504347,0.00058727,5.67,0,22072,0.229274,0.23053
249,0.196435,0.505014,0.506949,0.00058451,5.74,0,22161,0.237406,0.23858
250,0.194718,0.48774,0.489655,0.00058174,5.72,0,22250,0.250609,0.251978
251,0.19804,0.48145,0.484828,0.00057897,5.65,0,22339,0.219128,0.220646
252,0.195658,0.479056,0.480927,0.0005762,5.74,0,22428,0.222828,0.224315
253,0.194319,0.498348,0.500689,0.00057343,5.87,0,22517,0.254924,0.256329
254,0.193753,0.490794,0.492498,0.00057065,5.91,0,22606,0.248274,0.2493
255,0.19679,0.477857,0.479371,0.00056787,5.59,0,22695,0.232737,0.233547
256,0.193106,0.477031,0.478705,0.00056509,5.74,0,22784,0.225537,0.225892
257,0.194142,0.498788,0.500916,0.00056231,5.89,0,22873,0.223033,0.223786
258,0.196752,0.518496,0.520603,0.00055953,5.82,0,22962,0.22608,0.227245
259,0.195125,0.502438,0.504306,0.00055674,5.8,0,23051,0.212927,0.213739
260,0.198499,0.497354,0.499001,0.00055395,5.74,0,23140,0.228719,0.229633
261,0.195742,0.4793,0.481266,0.00055117,5.86,0,23229,0.208246,0.209281
262,0.192535,0.481184,0.483602,0.00054837,5.84,0,23318,0.22098,0.22221
263,0.194949,0.49524,0.496812,0.00054558,5.63,0,23407,0.199567,0.200346
264,0.194493,0.485425,0.486819,0.00054279,5.86,0,23496,0.184058,0.184556
265,0.195706,0.516493,0.517942,0.00054,5.68,0,23585,0.223926,0.224784
266,0.191984,0.500779,0.503384,0.0005372,5.72,0,23674,0.265117,0.26656
267,0.193517,0.468514,0.470944,0.0005344,5.85,0,23763,0.26519,0.266672
268,0.193367,0.448541,0.451091,0.00053161,5.77,0,23852,0.254074,0.255301
